project_type,area_hectares,duration_years,baseline_emissions,expected_emission_reduction,location,emission_factor,carbon_credits_generated
geothermal_energy,7.62,11,4069.32,436.01,Puducherry,3.32,4796
wind_energy,49.23,7,3005.79,395.42,Madhya Pradesh,3.17,2768
sustainable_agriculture,0.0,10,5253.27,238.83,Dadra and Nagar Haveli and Daman and Diu,0.0,2388
wetland_restoration,0.0,19,4241.72,214.35,Dadra and Nagar Haveli and Daman and Diu,0.0,4073
biochar_production,83.65,5,7756.76,328.63,Himachal Pradesh,2.09,1643
geothermal_energy,0.0,10,1465.14,578.22,Chhattisgarh,0.0,5782
methane_capture,71.45,19,1929.22,584.77,Andaman and Nicobar Islands,1.55,11111
methane_capture,0.0,14,6198.43,995.19,Madhya Pradesh,0.0,13933
reforestation,22.24,19,1127.15,96.08,Jammu and Kashmir,1.99,1826
carbon_sequestration,0.0,18,12867.74,895.97,Maharashtra,0.0,16128
solar_power,3.85,9,1605.88,109.95,Maharashtra,2.33,990
biochar_production,0.0,10,7431.36,694.18,Chhattisgarh,0.0,6942
methane_capture,0.0,9,10297.52,716.7,West Bengal,0.0,6450
geothermal_energy,57.66,20,3937.2,223.87,Assam,3.45,4477
wetland_restoration,87.74,20,0.0,0.0,Delhi,3.84,6740
reforestation,6.69,17,601.82,263.87,Chandigarh,0.59,4486
electric_mobility,95.91,8,0.0,0.0,Jammu and Kashmir,3.12,2394
wetland_restoration,51.7,14,2212.41,316.93,Bihar,2.89,4437
methane_capture,3.35,11,2716.7,115.22,Manipur,2.4,1267
wind_energy,31.67,14,2641.22,214.67,Ladakh,1.51,3005
biochar_production,31.18,8,2860.63,266.8,West Bengal,2.39,2134
solar_power,94.32,20,3717.19,421.64,Bihar,3.3,8433
wetland_restoration,82.06,5,5381.58,510.21,Maharashtra,4.28,2551
green_building,45.36,12,673.4,75.19,Chandigarh,0.89,902
solar_power,29.09,6,0.0,0.0,Ladakh,7.33,1279
green_building,4.49,11,2612.19,55.82,Tripura,1.14,614
geothermal_energy,13.77,6,2232.23,137.08,Ladakh,1.49,822
reforestation,44.0,15,2508.7,120.51,Tripura,1.97,1808
electric_mobility,0.0,14,7505.12,768.52,Dadra and Nagar Haveli and Daman and Diu,0.0,10759
afforestation,0.0,7,9914.55,471.36,Meghalaya,0.0,3299
methane_capture,13.25,6,2667.79,190.47,Andaman and Nicobar Islands,1.66,1143
solar_power,45.75,16,6281.8,151.56,Dadra and Nagar Haveli and Daman and Diu,4.0,2425
carbon_sequestration,0.0,5,5808.95,546.91,West Bengal,0.0,2735
afforestation,16.68,13,1473.0,52.71,Chandigarh,2.29,685
sustainable_agriculture,85.48,13,7697.61,438.38,Tamil Nadu,2.42,5699
electric_mobility,0.0,8,9454.69,831.84,Ladakh,0.0,6655
sustainable_agriculture,54.94,9,0.0,0.0,Himachal Pradesh,7.22,3568
biochar_production,68.89,8,6541.05,494.81,Lakshadweep,4.01,3958
green_building,466.16,17,0.0,0.0,Karnataka,9.82,77818
solar_power,0.0,18,5945.76,497.38,Karnataka,0.0,8953
biochar_production,0.0,11,5913.24,735.25,Uttar Pradesh,0.0,8088
green_building,80.07,19,0.0,0.0,Himachal Pradesh,8.33,12673
electric_mobility,87.35,16,3982.64,211.29,Andhra Pradesh,4.35,3381
reforestation,0.0,13,8396.74,735.62,Arunachal Pradesh,0.0,9563
solar_power,0.0,9,5619.94,309.91,Punjab,0.0,2789
solar_power,0.0,12,6865.52,570.64,Himachal Pradesh,0.0,6848
green_building,27.49,8,5143.22,275.11,Tripura,4.63,2201
carbon_sequestration,0.0,16,1751.51,799.43,Andaman and Nicobar Islands,0.0,12791
geothermal_energy,71.98,10,3311.77,317.23,Gujarat,1.99,3172
sustainable_agriculture,0.0,17,1102.18,521.79,Bihar,0.0,8871
green_building,0.0,14,11632.66,967.19,Bihar,0.0,13541
afforestation,32.81,19,1958.42,290.54,Delhi,1.99,5520
biochar_production,244.08,19,0.0,0.0,Punjab,3.58,16603
geothermal_energy,11.96,5,530.39,292.47,Maharashtra,2.43,1462
wind_energy,0.0,17,6194.92,243.4,Tripura,0.0,4138
geothermal_energy,99.33,9,4876.98,584.65,Telangana,1.3,5262
reforestation,0.0,6,4160.8,416.81,Delhi,0.0,2501
methane_capture,0.0,19,7909.03,827.56,Odisha,0.0,15724
wind_energy,19.83,10,2788.14,289.68,West Bengal,1.97,2897
methane_capture,0.0,20,9012.37,510.09,West Bengal,0.0,10202
carbon_sequestration,0.0,16,6363.58,369.68,Telangana,0.0,5915
solar_power,0.0,8,5173.29,418.02,Ladakh,0.0,3344
methane_capture,0.0,6,3393.44,424.31,Mizoram,0.0,2546
green_building,0.0,8,9875.9,728.35,Maharashtra,0.0,5827
carbon_sequestration,31.58,5,5219.47,235.48,Kerala,2.64,1177
afforestation,0.0,17,9198.34,840.28,Uttarakhand,0.0,14285
sustainable_agriculture,214.15,6,0.0,0.0,Nagaland,7.07,9082
geothermal_energy,0.0,13,4764.19,939.46,Puducherry,0.0,12213
wetland_restoration,280.28,6,0.0,0.0,Arunachal Pradesh,4.15,6985
electric_mobility,40.76,12,7910.93,175.21,Mizoram,4.24,2102
geothermal_energy,377.29,9,0.0,0.0,Karnataka,5.75,19528
solar_power,0.0,15,12947.55,1038.33,Chandigarh,0.0,15575
wind_energy,28.04,6,0.0,0.0,Tripura,3.94,662
electric_mobility,10.36,9,6690.31,599.86,Puducherry,4.46,5399
electric_mobility,457.45,10,0.0,0.0,Telangana,7.1,32461
reforestation,94.75,9,2731.44,325.27,Arunachal Pradesh,4.4,2927
electric_mobility,28.89,18,2450.59,539.11,Arunachal Pradesh,2.1,9704
wetland_restoration,0.0,12,6563.15,422.35,Manipur,0.0,5068
methane_capture,2.09,12,1690.53,257.84,Nagaland,1.5,3094
solar_power,0.0,6,8669.63,596.72,Gujarat,0.0,3580
solar_power,0.0,9,1795.67,812.64,Jammu and Kashmir,0.0,7314
geothermal_energy,0.0,5,3742.2,228.78,West Bengal,0.0,1144
biochar_production,79.54,19,6635.31,551.58,Odisha,3.56,10480
methane_capture,1.71,20,1974.79,148.06,Maharashtra,1.2,2961
biochar_production,5.46,15,1868.62,162.73,Uttar Pradesh,1.95,2441
green_building,20.43,19,2655.91,287.38,Mizoram,1.74,5460
electric_mobility,23.51,8,2422.29,66.56,Telangana,2.18,532
biochar_production,49.02,9,1321.88,208.35,West Bengal,1.49,1875
electric_mobility,177.37,20,0.0,0.0,Goa,6.76,23983
wetland_restoration,17.16,11,1971.79,420.44,Manipur,1.61,4625
biochar_production,0.0,12,7268.51,470.5,Karnataka,0.0,5646
carbon_sequestration,0.0,20,5265.65,700.8,Manipur,0.0,14016
afforestation,0.0,6,9825.16,423.85,Andhra Pradesh,0.0,2543
wind_energy,92.78,9,0.0,0.0,Uttarakhand,4.95,4133
reforestation,8.02,17,4740.96,278.0,Uttar Pradesh,3.19,4726
green_building,18.85,18,2225.99,59.83,Uttar Pradesh,1.51,1077
solar_power,0.0,13,8254.89,887.78,Meghalaya,0.0,11541
afforestation,87.99,12,1427.55,238.44,Meghalaya,4.68,2861
geothermal_energy,51.41,5,0.0,0.0,Jharkhand,7.18,1846
reforestation,112.58,8,0.0,0.0,Madhya Pradesh,5.59,5038
carbon_sequestration,125.7,10,0.0,0.0,Telangana,8.32,10458
methane_capture,0.0,18,5162.81,772.72,Rajasthan,0.0,13909
geothermal_energy,0.0,18,2329.65,219.81,Jharkhand,0.0,3956
electric_mobility,448.65,7,0.0,0.0,Rajasthan,6.58,20670
wind_energy,2.49,19,1385.37,149.29,Odisha,2.23,2837
methane_capture,141.93,20,0.0,0.0,Telangana,5.64,16012
solar_power,286.34,14,0.0,0.0,Tamil Nadu,8.88,35618
green_building,0.0,10,3947.48,207.79,Himachal Pradesh,0.0,2078
reforestation,178.03,5,0.0,0.0,Chandigarh,6.32,5624
carbon_sequestration,79.97,14,1608.44,368.55,Manipur,2.99,5160
afforestation,283.29,6,0.0,0.0,Haryana,7.11,12078
afforestation,0.0,16,2148.22,355.4,Sikkim,0.0,5686
methane_capture,45.08,10,1110.88,174.56,Andhra Pradesh,1.72,1746
geothermal_energy,0.0,10,9875.07,437.23,Kerala,0.0,4372
electric_mobility,12.04,10,1719.52,262.7,Nagaland,1.23,2627
carbon_sequestration,32.08,18,7277.36,140.12,Bihar,1.69,2522
wind_energy,18.94,7,0.0,0.0,Manipur,7.88,1044
solar_power,0.0,12,3456.51,597.86,Jammu and Kashmir,0.0,7174
methane_capture,459.52,16,0.0,0.0,Chandigarh,3.04,22330
electric_mobility,13.64,10,2171.61,282.34,Karnataka,0.84,2823
carbon_sequestration,27.22,19,2596.46,101.27,Assam,1.45,1924
biochar_production,0.0,14,6207.83,625.44,Gujarat,0.0,8756
afforestation,0.0,5,7626.22,576.86,Nagaland,0.0,2884
carbon_sequestration,30.92,5,1953.1,88.59,Lakshadweep,1.08,443
carbon_sequestration,35.46,8,3584.61,327.13,Delhi,3.38,2617
green_building,0.0,9,2823.87,1189.96,Nagaland,0.0,10710
methane_capture,34.54,17,847.06,50.68,Jammu and Kashmir,0.68,862
sustainable_agriculture,301.86,13,0.0,0.0,West Bengal,6.3,24727
biochar_production,39.92,11,2626.82,236.49,West Bengal,0.71,2601
afforestation,0.0,6,3615.86,930.87,Telangana,0.0,5585
wetland_restoration,11.05,13,2816.12,230.4,Uttarakhand,1.26,2995
green_building,0.0,16,12943.77,339.77,Dadra and Nagar Haveli and Daman and Diu,0.0,5436
solar_power,0.0,13,7754.52,819.58,Delhi,0.0,10655
solar_power,9.05,7,2162.99,180.77,Bihar,2.13,1265
solar_power,164.94,8,0.0,0.0,Odisha,7.12,9392
wind_energy,0.0,6,8349.39,495.22,Uttarakhand,0.0,2971
carbon_sequestration,0.0,18,13695.68,824.1,Chandigarh,0.0,14834
biochar_production,76.02,5,2625.49,549.79,Tripura,3.01,2749
green_building,0.0,11,8914.15,266.62,Nagaland,0.0,2933
reforestation,315.88,12,0.0,0.0,Delhi,3.82,14473
reforestation,173.08,10,0.0,0.0,Karnataka,8.11,14043
wetland_restoration,78.24,14,0.0,0.0,Haryana,8.56,9375
wind_energy,252.76,17,0.0,0.0,Nagaland,8.19,35192
wind_energy,396.41,15,0.0,0.0,Bihar,4.06,24152
reforestation,0.0,5,11190.75,978.57,Chandigarh,0.0,4893
wind_energy,26.43,5,0.0,0.0,Maharashtra,6.99,924
wetland_restoration,0.0,14,8421.76,954.64,Delhi,0.0,13365
afforestation,0.0,10,8391.32,199.57,Punjab,0.0,1996
reforestation,48.42,8,4516.02,369.93,Lakshadweep,3.42,2959
green_building,122.33,17,0.0,0.0,Puducherry,8.06,16753
wetland_restoration,0.0,6,1109.83,638.6,Andhra Pradesh,0.0,3832
electric_mobility,0.0,8,9055.42,451.8,Chandigarh,0.0,3614
reforestation,41.51,9,1356.31,106.84,West Bengal,2.42,962
electric_mobility,0.0,11,8006.08,1147.28,Odisha,0.0,12620
green_building,0.0,16,13854.08,339.12,Maharashtra,0.0,5426
biochar_production,63.09,6,7104.87,566.06,Assam,1.07,3396
sustainable_agriculture,92.28,8,1161.16,425.68,Dadra and Nagar Haveli and Daman and Diu,4.16,3405
reforestation,0.0,5,9491.75,806.72,Odisha,0.0,4034
methane_capture,0.0,10,1695.89,193.82,Puducherry,0.0,1938
electric_mobility,463.53,13,0.0,0.0,Madhya Pradesh,6.16,37095
methane_capture,0.0,18,3123.15,248.97,Dadra and Nagar Haveli and Daman and Diu,0.0,4481
electric_mobility,0.0,8,3620.61,1120.84,Maharashtra,0.0,8967
methane_capture,16.26,19,2019.74,144.83,Telangana,0.95,2752
sustainable_agriculture,17.42,9,511.58,133.37,Puducherry,2.11,1200
wetland_restoration,21.31,19,2807.4,166.43,Jharkhand,2.23,3162
wind_energy,0.0,15,11587.52,652.22,Manipur,0.0,9783
methane_capture,26.09,15,0.0,0.0,Gujarat,9.39,3675
wetland_restoration,0.0,10,4293.03,698.37,Delhi,0.0,6984
wetland_restoration,0.0,10,1304.91,380.33,Assam,0.0,3803
green_building,0.0,17,6225.3,669.04,Karnataka,0.0,11374
biochar_production,0.0,16,4764.85,715.17,Karnataka,0.0,11443
methane_capture,480.92,5,0.0,0.0,Andaman and Nicobar Islands,4.04,9716
geothermal_energy,431.71,10,0.0,0.0,Nagaland,6.75,29121
wind_energy,52.71,12,1469.54,474.98,Assam,3.38,5700
carbon_sequestration,0.0,15,12397.17,549.39,Dadra and Nagar Haveli and Daman and Diu,0.0,8241
biochar_production,103.44,18,0.0,0.0,Assam,3.26,6062
afforestation,0.0,18,8529.08,628.71,Mizoram,0.0,11317
carbon_sequestration,390.01,5,0.0,0.0,Dadra and Nagar Haveli and Daman and Diu,6.17,12038
solar_power,271.88,6,0.0,0.0,Karnataka,6.37,10387
wetland_restoration,28.42,18,954.82,265.45,Chhattisgarh,0.81,4778
sustainable_agriculture,379.09,11,0.0,0.0,Mizoram,4.91,20458
electric_mobility,32.56,7,563.47,89.04,Arunachal Pradesh,1.32,623
solar_power,43.48,6,1879.31,113.47,Punjab,1.32,681
sustainable_agriculture,339.23,11,0.0,0.0,Gujarat,3.14,11709
carbon_sequestration,176.24,10,0.0,0.0,Goa,6.99,12313
reforestation,0.0,7,6874.71,314.36,Lakshadweep,0.0,2201
geothermal_energy,0.0,6,12469.09,1188.73,Tamil Nadu,0.0,7132
wetland_restoration,0.0,20,8701.27,847.2,Chandigarh,0.0,16944
reforestation,0.0,8,9499.69,226.97,Goa,0.0,1816
geothermal_energy,153.64,18,0.0,0.0,Puducherry,9.27,25649
afforestation,0.0,11,6699.17,762.31,Punjab,0.0,8385
carbon_sequestration,0.0,9,1238.79,263.29,Chandigarh,0.0,2370
afforestation,0.0,8,6786.33,733.55,Odisha,0.0,5868
biochar_production,82.66,5,2815.96,289.85,Delhi,2.37,1449
afforestation,8.25,11,3416.35,486.92,Jammu and Kashmir,4.32,5356
afforestation,223.7,13,0.0,0.0,Goa,5.06,14719
solar_power,0.0,8,9770.93,801.78,Meghalaya,0.0,6414
sustainable_agriculture,0.0,5,13290.08,687.43,Manipur,0.0,3437
biochar_production,240.82,18,0.0,0.0,Arunachal Pradesh,4.27,18530
electric_mobility,7.13,6,4791.44,416.74,Punjab,2.07,2500
geothermal_energy,0.0,11,2962.21,680.55,Mizoram,0.0,7486
methane_capture,492.36,18,0.0,0.0,Andhra Pradesh,6.68,59200
methane_capture,0.0,17,10985.88,883.18,Goa,0.0,15014
geothermal_energy,91.86,10,5035.62,237.03,Bihar,1.47,2370
reforestation,0.0,5,7268.23,697.46,Mizoram,0.0,3487
geothermal_energy,0.0,16,4683.48,211.0,Jammu and Kashmir,0.0,3376
afforestation,139.21,9,0.0,0.0,Meghalaya,4.87,6096
carbon_sequestration,302.73,15,0.0,0.0,Dadra and Nagar Haveli and Daman and Diu,7.2,32712
green_building,0.0,13,5448.46,615.96,Jharkhand,0.0,8008
carbon_sequestration,44.78,5,4632.42,123.48,Bihar,2.53,617
wetland_restoration,47.97,16,725.84,242.75,Nagaland,0.87,3884
wetland_restoration,200.75,17,0.0,0.0,Telangana,5.02,17135
wetland_restoration,45.86,20,2026.01,287.33,Sikkim,1.94,5747
solar_power,33.52,11,2331.43,103.74,Jharkhand,2.37,1141
sustainable_agriculture,56.29,8,6890.71,523.2,Uttarakhand,1.65,4186
wind_energy,302.45,15,0.0,0.0,Andaman and Nicobar Islands,5.34,24225
electric_mobility,50.05,14,3460.78,306.4,Telangana,2.38,4290
reforestation,34.73,17,1116.01,254.78,Andhra Pradesh,1.37,4331
green_building,11.15,9,0.0,0.0,Madhya Pradesh,9.77,980
afforestation,0.0,10,6312.08,424.88,Dadra and Nagar Haveli and Daman and Diu,0.0,4249
carbon_sequestration,405.64,16,0.0,0.0,West Bengal,9.73,63181
afforestation,475.62,5,0.0,0.0,Madhya Pradesh,6.12,14559
solar_power,5.25,19,2395.98,209.74,Punjab,2.42,3985
carbon_sequestration,33.28,5,2622.99,112.42,Jharkhand,1.88,562
biochar_production,32.69,13,628.99,217.48,Arunachal Pradesh,1.89,2827
electric_mobility,35.57,20,951.44,191.99,Assam,2.35,3840
methane_capture,163.3,14,0.0,0.0,Tripura,3.84,8787
carbon_sequestration,33.25,11,7797.41,572.13,Puducherry,4.7,6293
wetland_restoration,75.78,6,4186.01,361.22,Mizoram,1.22,2167
green_building,8.52,11,2610.06,160.28,Dadra and Nagar Haveli and Daman and Diu,3.39,1763
wind_energy,44.36,6,1602.58,151.12,Rajasthan,1.56,907
solar_power,0.0,11,6098.77,739.49,Punjab,0.0,8134
reforestation,67.86,17,4641.18,313.41,West Bengal,3.95,5328
afforestation,12.42,16,2675.25,55.32,Nagaland,0.55,885
methane_capture,100.88,11,0.0,0.0,Chhattisgarh,5.69,6312
methane_capture,0.0,20,8189.05,998.14,Gujarat,0.0,19963
wind_energy,35.82,8,0.0,0.0,Andaman and Nicobar Islands,3.62,1037
green_building,50.59,18,7115.74,592.04,Madhya Pradesh,3.51,10657
wind_energy,0.0,14,1825.29,402.73,Himachal Pradesh,0.0,5638
solar_power,371.42,8,0.0,0.0,Maharashtra,4.67,13880
sustainable_agriculture,0.0,7,8075.04,497.0,Uttarakhand,0.0,3479
electric_mobility,0.0,6,3666.77,310.25,Meghalaya,0.0,1861
green_building,145.86,13,0.0,0.0,Ladakh,9.37,17772
methane_capture,0.0,19,7561.05,584.33,Andhra Pradesh,0.0,11102
methane_capture,7.1,12,2494.97,114.75,West Bengal,2.41,1377
green_building,44.67,16,7613.12,333.7,Tripura,4.52,5339
wetland_restoration,0.0,17,9902.66,769.02,Karnataka,0.0,13073
green_building,0.0,8,3085.05,948.46,Tripura,0.0,7588
reforestation,12.3,19,800.85,61.74,Arunachal Pradesh,2.16,1173
wind_energy,11.8,13,2448.96,137.53,Dadra and Nagar Haveli and Daman and Diu,0.87,1788
carbon_sequestration,0.0,9,6668.0,294.69,Telangana,0.0,2652
biochar_production,93.14,13,2217.27,298.12,Jammu and Kashmir,4.98,3876
wetland_restoration,250.68,6,0.0,0.0,Kerala,9.97,15002
reforestation,82.5,7,2566.72,368.49,Telangana,1.9,2579
solar_power,0.0,13,13633.98,1060.13,Uttar Pradesh,0.0,13782
afforestation,0.0,15,13406.99,465.6,Madhya Pradesh,0.0,6984
electric_mobility,24.36,16,2630.48,58.86,Madhya Pradesh,0.59,942
carbon_sequestration,33.11,19,717.47,152.11,Lakshadweep,1.6,2890
sustainable_agriculture,0.0,19,1045.74,726.14,Odisha,0.0,13797
wind_energy,25.3,20,1050.46,220.81,Punjab,0.66,4416
reforestation,0.0,9,9923.28,155.37,Kerala,0.0,1398
wetland_restoration,245.49,17,0.0,0.0,Gujarat,7.15,29826
wind_energy,28.99,14,1859.45,266.12,Odisha,1.82,3726
biochar_production,44.05,5,2146.13,262.65,Lakshadweep,2.09,1313
afforestation,8.86,15,1096.73,282.52,Manipur,1.17,4238
afforestation,0.0,8,10041.95,952.72,Lakshadweep,0.0,7622
solar_power,0.0,11,13461.28,1161.32,Punjab,0.0,12774
geothermal_energy,7.78,13,1902.09,267.56,Ladakh,4.3,3478
methane_capture,91.33,18,4893.27,478.32,Dadra and Nagar Haveli and Daman and Diu,1.0,8610
electric_mobility,0.0,16,1057.47,358.33,Tamil Nadu,0.0,5733
wind_energy,0.0,18,6243.64,759.84,Kerala,0.0,13677
wind_energy,137.3,12,0.0,0.0,Manipur,7.44,12255
biochar_production,82.77,12,2983.4,109.21,Uttarakhand,1.51,1311
sustainable_agriculture,481.87,13,0.0,0.0,Assam,5.39,33784
sustainable_agriculture,22.05,16,6521.65,186.88,Tripura,4.01,2990
methane_capture,0.0,8,2881.88,500.96,Arunachal Pradesh,0.0,4008
green_building,387.78,5,0.0,0.0,Goa,7.96,15434
wind_energy,17.95,10,614.36,267.88,Tripura,1.74,2679
methane_capture,69.22,20,5533.02,397.2,Ladakh,2.78,7944
carbon_sequestration,7.34,16,3265.27,344.32,Jharkhand,1.09,5509
wind_energy,0.0,7,5282.61,201.03,Kerala,0.0,1407
wetland_restoration,30.99,6,3983.27,325.69,Dadra and Nagar Haveli and Daman and Diu,4.99,1954
geothermal_energy,0.0,11,8851.31,1025.92,Puducherry,0.0,11285
reforestation,0.0,15,4870.0,282.38,Jharkhand,0.0,4236
sustainable_agriculture,0.0,18,4990.7,331.34,Punjab,0.0,5964
biochar_production,95.33,7,4026.34,571.81,Andaman and Nicobar Islands,1.6,4003
afforestation,430.11,20,0.0,0.0,Rajasthan,9.75,83885
wetland_restoration,144.37,7,0.0,0.0,Uttarakhand,9.89,9992
methane_capture,167.16,5,0.0,0.0,Telangana,8.07,6746
electric_mobility,11.44,6,2129.17,142.13,West Bengal,0.56,853
solar_power,24.11,19,898.11,100.93,Telangana,1.59,1918
carbon_sequestration,39.05,17,2611.96,240.26,Tamil Nadu,2.04,4084
sustainable_agriculture,40.04,7,2779.59,291.88,Delhi,1.09,2043
biochar_production,400.3,8,0.0,0.0,Uttar Pradesh,6.37,20402
solar_power,0.0,18,6384.95,646.58,Jammu and Kashmir,0.0,11638
wind_energy,0.0,8,4872.75,280.47,Meghalaya,0.0,2244
green_building,0.0,13,2447.43,686.37,Kerala,0.0,8923
methane_capture,0.0,9,3420.94,817.8,Madhya Pradesh,0.0,7360
wetland_restoration,0.0,15,14796.57,349.58,Tamil Nadu,0.0,5244
methane_capture,11.88,9,4359.57,400.01,Jammu and Kashmir,2.57,3600
geothermal_energy,67.41,20,7668.54,553.91,Manipur,4.03,11078
